CatalogNumber,otherCatalogNumber,speciesName,Citation,verbatimLatitude,verbatimLongitude,uncertaintyinmeters,eventDate,recordedBy,specimenRemarks,stateprovince,Country,County,Locality,GeoreferenceRemarks,basisofRecord
ACCDC-745994,Coll: NBM. Col# JK00990. Evid.: specimen.,Toxomerus geminatus,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746022,Coll: NBM. Col# JK01018. Evid.: specimen.,Toxomerus marginatus,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.7,-67.53,10,2010-07-26,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746043,Coll: NBM. Col# JK01039. Evid.: specimen.,Spilomyia fusca,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746044,Coll: NBM. Col# JK01040. Evid.: specimen.,Spilomyia fusca,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746052,Coll: NBM. Col# JK01048. Evid.: specimen.,Sericomyia chrysotoxoides,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746062,Coll: NBM. Col# JK01058. Evid.: specimen.,Sericomyia chrysotoxoides,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746063,Coll: NBM. Col# JK01059. Evid.: specimen.,Sericomyia chrysotoxoides,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746069,Coll: NBM. Col# JK01065. Evid.: specimen.,Sericomyia lata,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-06-25,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746071,Coll: NBM. Col# JK01067. Evid.: specimen.,Sericomyia lata,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746079,Coll: NBM. Col# JK01075. Evid.: specimen.,Sericomyia militaris,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.73,-67.61,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746080,Coll: NBM. Col# JK01076. Evid.: specimen.,Sericomyia militaris,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.68,-67.46,10,2010-08-18,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746081,Coll: NBM. Col# JK01077. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746082,Coll: NBM. Col# JK01078. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746083,Coll: NBM. Col# JK01079. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746084,Coll: NBM. Col# JK01080. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746085,Coll: NBM. Col# JK01081. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746086,Coll: NBM. Col# JK01082. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746087,Coll: NBM. Col# JK01083. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746088,Coll: NBM. Col# JK01084. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746089,Coll: NBM. Col# JK01085. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746090,Coll: NBM. Col# JK01086. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746091,Coll: NBM. Col# JK01087. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746092,Coll: NBM. Col# JK01088. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746097,Coll: NBM. Col# JK01093. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.7,-67.66,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746101,Coll: NBM. Col# JK01097. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746102,Coll: NBM. Col# JK01098. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746103,Coll: NBM. Col# JK01099. Evid.: specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.68,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746111,Coll: NBM. Col# JK01107. Evid.: specimen.,Rhingia nasica,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.62,-67.45,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746120,Coll: NBM. Col# JK01116. Evid.: specimen.,Rhingia nasica,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746122,Coll: NBM. Col# JK01118. Evid.: specimen.,Syrphus vitripennis,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746123,Coll: NBM. Col# JK01119. Evid.: specimen.,Syrphus vitripennis,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746129,Coll: NBM. Col# JK01125. Evid.: specimen.,Syrphus rectus,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746130,Coll: NBM. Col# JK01126. Evid.: specimen.,Syrphus rectus,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746131,Coll: NBM. Col# JK01127. Evid.: specimen.,Syrphus rectus,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746133,Coll: NBM. Col# JK01129. Evid.: specimen.,Syrphus rectus,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-07-26,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746137,Coll: NBM. Col# JK01133. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746138,Coll: NBM. Col# JK01134. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746139,Coll: NBM. Col# JK01135. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746140,Coll: NBM. Col# JK01136. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746141,Coll: NBM. Col# JK01137. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746142,Coll: NBM. Col# JK01138. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746143,Coll: NBM. Col# JK01139. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746144,Coll: NBM. Col# JK01140. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746145,Coll: NBM. Col# JK01141. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746147,Coll: NBM. Col# JK01143. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.7,-67.53,10,2010-07-26,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746155,Coll: NBM. Col# JK01151. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-746166,Coll: NBM. Col# JK01162. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2012. Insect fieldwork & submissions, 2011. Atlantic Canada Conservation Data Centre. Sackville NB, 760 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-744826,Coll: NBM. Col# JKODO0183. Evid.: specimen.,Sympetrum internum,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.7,-67.53,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,East Brook Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-744827,Coll: NBM. Col# JKODO0110. Evid.: specimen.,Sympetrum vicinum,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: teneral. Activity: emergence.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744828,Coll: NBM. Col# JKODO0119. Evid.: specimen.,Sympetrum obtrusum,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744829,Coll: NBM. Col# JKODO0125. Evid.: specimen.,Aeshna clepsydra,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult. Activity: feeding swarm.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744830,Coll: NBM. Col# JKODO0141. Evid.: specimen.,Ischnura verticalis,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744831,Coll: NBM. Col# JKODO0147. Evid.: specimen.,Enallagma ebrium,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744832,Coll: NBM. Col# JKODO0195. Evid.: specimen.,Leucorrhinia frigida,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744833,Coll: NBM. Col# JKODO0217. Evid.: specimen.,Enallagma hageni,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744834,Coll: NBM. Col# JKODO0305. Evid.: specimen.,Aeshna umbrosa,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744835,Coll: NBM. Col# JKODO0116. Evid.: specimen.,Aeshna umbrosa,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.56,50,2010-08-18,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult. Activity: feeding swarm.,New Brunswick,Canada,York,Bolton Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-744836,Coll: NBM. Col# JKODO0150. Evid.: specimen.,Enallagma ebrium,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.67,-67.65,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-744837,Coll: NBM. Col# JKODO0158. Evid.: specimen.,Lestes rectangularis,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.67,-67.65,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-744838,Coll: NBM. Col# JKODO0160. Evid.: specimen.,Lestes disjunctus,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.67,-67.65,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-744839,Coll: NBM. Col# JKODO0178. Evid.: specimen.,Sympetrum obtrusum,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.67,-67.65,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-744840,Coll: NBM. Col# JKODO0213. Evid.: specimen.,Dromogomphus spinosus,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.67,-67.65,50,2010-07-26,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-744841,Coll: NBM. Acc# ADIP No: 215403. Col# JKODO0138. Evid.: specimen.,Nehalennia irene,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.67,-67.65,50,2010-07-28,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-744842,Coll: NBM. Col# JKODO0128. Evid.: specimen.,Aeshna canadensis,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.5,50,2010-07-27,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-744843,Coll: NBM. Col# JKODO0142. Evid.: specimen.,Ischnura verticalis,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.5,50,2010-07-27,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-744844,Coll: NBM. Col# JKODO0145. Evid.: specimen.,Enallagma hageni,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.5,50,2010-07-27,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-744845,Coll: NBM. Col# JKODO0155. Evid.: specimen.,Lestes vigilax,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.5,50,2010-07-27,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-744846,Coll: NBM. Col# JKODO0159. Evid.: specimen.,Lestes disjunctus,"Klymko, J.J.D. 2012. Odonata specimens & observations, 2010. Atlantic Canada Conservation Data Centre, 425 recs.",45.69,-67.5,50,2010-07-27,"Klymko, J.J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Palfrey Lake,Contact AC CDC for full precision data,HumanObservation
